Contig	SLMCELL	SLMVIRAL	SLW
phage_9	0	1752.7621	0
phage_37	707.9965	2114.1228	0
phage_51	0	0	0
phage_80	0	1522.4253	0
phage_96	0	302.42456	0
phage_126	0	5046.5806	0
phage_168	2590.6628	0	0
phage_190	910.3483	784.1951	0
phage_215	1303.358	0	0
phage_217	0	2417.3115	0
phage_286	0	65.17756	0
phage_294	0	1197.6202	0
phage_307	3409.6887	0	0
phage_363	0	1778.5084	0
phage_403	1793.6912	0	0
phage_425	28219.74	0	0
phage_434	0	146.53754	0
phage_456	0	40.50349	0
phage_496	0	1265.832	0
phage_528	0	60.641315	0
phage_652	2015.9725	0	0
phage_656	0	3077.6604	0
phage_688	1744.1215	0	0
phage_705	1643.3955	0	0
phage_733	0	104.90878	0
phage_767	0	123.10548	0
phage_776	2616.6587	0	0
phage_805	0	198.53395	0
phage_807	501.042	0	96857.69
phage_808	623.1306	600.32477	0
phage_812	4610.4897	202.82942	0
phage_814	1176.8375	0	0
phage_815	1149.8776	0	0
phage_816	0	84.625046	0
phage_817	1847.9995	0	0
phage_819	1305.817	0	0
phage_820	1738.351	0	0
phage_823	1204.6432	0	0
phage_824	0	105.1205	0
phage_825	1549.054	0	0
phage_827	1377.3538	0	0
phage_828	0	124.49402	0
phage_829	0	0	0
phage_831	1425.0609	0	0
phage_832	0	358.4455	0
phage_833	1858.6963	0	0
phage_835	2619.108	0	0
phage_838	0	60.61975	0
phage_839	0	172.59	0
phage_840	2641.1467	0	0
phage_841	0	295.58716	0
phage_842	0	346.70898	0
phage_843	1214.7631	15047.8545	0
phage_844	0	278.11227	0
phage_845	0	227.0737	0
phage_848	2980.9688	45602.43	0
phage_849	1350.3167	7873.3794	0
phage_851	2415.2827	0	0
phage_853	1692.9087	0	0
phage_854	1841.4084	40.26179	0
phage_855	2718.086	0	0
phage_856	1905.0746	0	0
phage_858	2360.0889	0	0
phage_859	4101.7495	0	0
phage_861	0	851.7742	0
phage_862	841.2716	1733.9219	0
phage_863	1727.7815	0	0
phage_864	2095.633	0	0
phage_865	0	112.48695	0
phage_866	0	891.6145	0
phage_867	1472.4238	0	0
phage_868	2758.4604	0	0
phage_869	1466.5939	0	0
phage_871	0	3713.362	0
phage_873	0	1085.8535	0
phage_875	0	212.54456	0
phage_876	6446.367	0	0
phage_877	2957.5437	0	0
phage_878	2001.8832	0	0
phage_879	590.682	79.45013	0
phage_882	0	1000.2431	0
phage_885	0	3392.7214	0
phage_886	0	369.31836	0
phage_888	0	767.45917	0
phage_890	1993.4482	0	0
phage_891	1264.1461	20454.31	0
phage_896	4985.9526	22116.113	124662.7
phage_897	0	5885.877	0
phage_898	1800.0144	0	0
phage_899	2163.8108	0	0
phage_900	577.9015	3447.819	0
phage_901	0	783.4271	0
phage_902	28937.096	17419.598	0
phage_903	0	1058.3757	0
phage_904	0	450.09805	0
phage_907	1407.3582	0	0
phage_909	0	288.19214	0
phage_910	1732.1278	0	0
phage_912	0	37.062363	0
phage_914	1683.0818	0	0
phage_915	0	117.72286	0
phage_919	0	61.570908	0
phage_920	0	134.79666	0
phage_921	0	401.5297	0
phage_923	2401.6357	0	0
phage_932	1399.5737	0	0
phage_933	12349.658	0	0
phage_944	1364.9191	0	0
phage_948	0	51.607216	0
phage_951	0	2133.9841	0
phage_954	2360.243	0	0
phage_975	0	59.53463	0
phage_991	967.6626	0	0
