Contig	SLMCELL	SLMVIRAL	SLW
1	0	104.41361	0
2	0	1325.8242	0
3	0	56.607487	0
4	1555.449	0	0
5	1555.449	0	0
6	1555.449	0	0
7	1555.449	0	0
8	1555.449	0	0
9	4507.211	0	0
10	1249.5881	0	86167.05
11	1918.0671	0	0
12	0	597.2619	0
13	3138.5476	0	0
14	3138.5476	0	0
15	1103.231	2446.829	0
16	1103.231	2446.829	0
17	1103.231	2446.829	0
18	1302.4373	0	0
19	0	803.89575	0
20	0	803.89575	0
21	1604.8258	0	0
22	3130.2048	0	0
23	3130.2048	0	0
24	9333.175	7353.2637	0
25	0	2540.321	0
26	0	2540.321	0
27	457.1093	224.47852	0
28	763.28186	11673.113	0
29	763.28186	11673.113	0
30	851.63	9053.527	0
31	0	1798.2781	0
32	0	1798.2781	0
33	848.7881	10652.896	0
34	848.7881	10652.896	0
35	848.7881	10652.896	0
36	0	3818.0405	0
37	672.13983	572.033	0
38	543.9543	933.13763	0
39	6042.0923	93516.18	0
40	0	351.3128	0
41	1976.278	0	0
42	0	760.2307	0
43	0	760.2307	0
44	0	441.13458	0
45	0	441.13458	0
46	2093.2969	0	0
47	2093.2969	0	0
48	0	384.22632	0
49	0	384.22632	0
50	0	384.22632	0
51	929.06104	110.947975	0
52	1601.108	0	0
53	0	62.424908	0
54	1437.7377	0	0
55	2162.9485	0	0
56	2162.9485	0	0
57	906.9861	428.8319	0
58	1177.2877	0	0
59	1177.2877	0	0
60	0	4059.0073	0
61	0	81.639565	0
62	0	313.218	0
63	0	313.218	0
64	0	313.218	0
65	1204.0986	0	0
66	0	168.58696	0
67	1126.069	0	0
68	0	423.74695	0
69	1440.059	0	0
70	0	76.79215	0
71	0	76.79215	0
72	0	76.79215	0
73	6259.991	1454.677	0
74	3858.5562	0	0
75	0	508.74347	0
76	0	83.90134	0
77	0	83.90134	0
78	1284.1599	0	0
79	1284.1599	0	0
80	1284.1599	0	0
81	1284.1599	0	0
82	1284.1599	0	0
83	1749.1436	0	0
84	2193.6267	0	0
85	0	74.33657	0
86	0	74.33657	0
87	0	3077.6604	0
88	0	3077.6604	0
89	0	3077.6604	0
90	0	3077.6604	0
91	0	3077.6604	0
92	0	3077.6604	0
93	0	3077.6604	0
94	0	3077.6604	0
95	0	3077.6604	0
96	0	3077.6604	0
97	0	3077.6604	0
98	0	3077.6604	0
99	0	832.04004	0
100	0	605.50336	0
101	1744.1215	0	0
102	1744.1215	0	0
103	1744.1215	0	0
104	1744.1215	0	0
105	1744.1215	0	0
106	3117.4036	0	0
107	0	649.57465	0
108	0	649.57465	0
109	0	649.57465	0
110	1858.6963	0	0
111	1858.6963	0	0
112	0	346.70898	0
113	1350.3167	7873.3794	0
114	1407.3582	0	0
