Contig	Order	Family	Genus	VC	VC Status	Size	VC Subcluster	VC Subcluster Size	Quality	Adj P-value	Topology Confidence Score	Genera in VC	Families in VC	Orders in VC	Genus Confidence Score
phage_2901	Caudovirales	Myoviridae	Unassigned	173_0	Clustered	3	VC_173_0	3	0.7309	0.70205845	0.5131	1	2	2	1
phage_767	Unassigned	Unassigned	Unassigned	495_0	Clustered	5	VC_495_0	5	1	1	1	1	1	1	1
phage_903	Unassigned	Unassigned	Unassigned	495_0	Clustered	5	VC_495_0	5	1	1	1	1	1	1	1
phage_3118	Unassigned	Unassigned	Unassigned	496_0	Clustered	3	VC_496_0	3	0.628	0.99188498	0.6229	1	1	1	1
phage_5764	Unassigned	Unassigned	Unassigned	496_0	Clustered	3	VC_496_0	3	0.628	0.99188498	0.6229	1	1	1	1
phage_888	Unassigned	Unassigned	Unassigned	496_0	Clustered	3	VC_496_0	3	0.628	0.99188498	0.6229	1	1	1	1
phage_2167	Unassigned	Unassigned	Unassigned	497_0	Clustered	2	VC_497_0	2	1	1	1	1	1	1	1
phage_4550	Unassigned	Unassigned	Unassigned	497_0	Clustered	2	VC_497_0	2	1	1	1	1	1	1	1
phage_2196	Unassigned	Unassigned	Unassigned	498_0	Clustered	3	VC_498_0	3	1	0	0	1	1	1	1
phage_3136	Unassigned	Unassigned	Unassigned	498_0	Clustered	3	VC_498_0	3	1	0	0	1	1	1	1
phage_6232	Unassigned	Unassigned	Unassigned	498_0	Clustered	3	VC_498_0	3	1	0	0	1	1	1	1
phage_2229	Unassigned	Unassigned	Unassigned	499_0	Clustered	2	VC_499_0	2	1	1	1	1	1	1	1
phage_4517	Unassigned	Unassigned	Unassigned	499_0	Clustered	2	VC_499_0	2	1	1	1	1	1	1	1
phage_5868	Unassigned	Unassigned	Unassigned	500_0	Clustered/Singleton	1	VC_500_0	1	0	1	0	1	1	1	1
phage_2279	Unassigned	Unassigned	Unassigned	501_0	Clustered	2	VC_501_0	2	0.5735	0.72985431	0.4186	1	1	1	1
phage_656	Unassigned	Unassigned	Unassigned	501_0	Clustered	2	VC_501_0	2	0.5735	0.72985431	0.4186	1	1	1	1
phage_2346	Unassigned	Unassigned	Unassigned	502_0	Clustered	2	VC_502_0	2	1	1	1	1	1	1	1
phage_975	Unassigned	Unassigned	Unassigned	502_0	Clustered	2	VC_502_0	2	1	1	1	1	1	1	1
phage_2475	Unassigned	Unassigned	Unassigned	503_0	Clustered	2	VC_503_0	2	1	1	1	1	1	1	1
phage_3356	Unassigned	Unassigned	Unassigned	503_0	Clustered	2	VC_503_0	2	1	1	1	1	1	1	1
phage_2667	Unassigned	Unassigned	Unassigned	504_0	Clustered	2	VC_504_0	2	1	1	1	1	1	1	1
phage_3086	Unassigned	Unassigned	Unassigned	504_0	Clustered	2	VC_504_0	2	1	1	1	1	1	1	1
phage_2731	Unassigned	Unassigned	Unassigned	505_0	Clustered	2	VC_505_0	2	1	1	1	1	1	1	1
phage_3275	Unassigned	Unassigned	Unassigned	505_0	Clustered	2	VC_505_0	2	1	1	1	1	1	1	1
phage_286	Unassigned	Unassigned	Unassigned	506_0	Clustered	2	VC_506_0	2	1	1	1	1	1	1	1
phage_80	Unassigned	Unassigned	Unassigned	506_0	Clustered	2	VC_506_0	2	1	1	1	1	1	1	1
phage_2875	Unassigned	Unassigned	Unassigned	507_0	Clustered	2	VC_507_0	2	0.8181	0.5	0.4091	1	1	1	1
phage_4389	Unassigned	Unassigned	Unassigned	507_0	Clustered	2	VC_507_0	2	0.8181	0.5	0.4091	1	1	1	1
phage_4748	Unassigned	Unassigned	Unassigned	508_0	Clustered	2	VC_508_0	2	0.3253	0.87921671	0.286	1	1	1	1
phage_909	Unassigned	Unassigned	Unassigned	508_0	Clustered	2	VC_508_0	2	0.3253	0.87921671	0.286	1	1	1	1
phage_2882	Unassigned	Unassigned	Unassigned	509_0	Clustered	2	VC_509_0	2	1	1	1	1	2	2	1
phage_2884	Unassigned	Unassigned	Unassigned	511_0	Clustered	3	VC_511_0	3	0.4089	0.613585	0.2509	1	1	1	1
phage_4749	Unassigned	Unassigned	Unassigned	511_0	Clustered	3	VC_511_0	3	0.4089	0.613585	0.2509	1	1	1	1
phage_6357	Unassigned	Unassigned	Unassigned	511_0	Clustered	3	VC_511_0	3	0.4089	0.613585	0.2509	1	1	1	1
phage_3070	Unassigned	Unassigned	Unassigned	512_0	Clustered	3	VC_512_0	3	0.4003	0.97490691	0.3903	1	1	1	1
phage_4518	Unassigned	Unassigned	Unassigned	512_0	Clustered	3	VC_512_0	3	0.4003	0.97490691	0.3903	1	1	1	1
phage_7194	Unassigned	Unassigned	Unassigned	512_0	Clustered	3	VC_512_0	3	0.4003	0.97490691	0.3903	1	1	1	1
phage_2898	Unassigned	Unassigned	Unassigned	513_0	Clustered	2	VC_513_0	2	1	1	1	1	1	1	1
phage_871	Unassigned	Unassigned	Unassigned	513_0	Clustered	2	VC_513_0	2	1	1	1	1	1	1	1
phage_2899	Unassigned	Unassigned	Unassigned	514_0	Clustered	2	VC_514_0	2	1	1	1	1	1	1	1
phage_5309	Unassigned	Unassigned	Unassigned	514_0	Clustered	2	VC_514_0	2	1	1	1	1	1	1	1
phage_3300	Unassigned	Unassigned	Unassigned	515_0	Clustered	2	VC_515_0	2	0.5555	0.72985431	0.4055	1	1	1	1
phage_4498	Unassigned	Unassigned	Unassigned	515_0	Clustered	2	VC_515_0	2	0.5555	0.72985431	0.4055	1	1	1	1
phage_2919	Unassigned	Unassigned	Unassigned	516_0	Clustered	2	VC_516_0	2	1	1	1	1	1	1	1
phage_4363	Unassigned	Unassigned	Unassigned	516_0	Clustered	2	VC_516_0	2	1	1	1	1	1	1	1
phage_3125	Unassigned	Unassigned	Unassigned	517_0	Clustered	3	VC_517_0	3	0.6603	0.97408504	0.6432	1	1	1	1
phage_3142	Unassigned	Unassigned	Unassigned	517_0	Clustered	3	VC_517_0	3	0.6603	0.97408504	0.6432	1	1	1	1
phage_890	Unassigned	Unassigned	Unassigned	517_0	Clustered	3	VC_517_0	3	0.6603	0.97408504	0.6432	1	1	1	1
phage_294	Unassigned	Unassigned	Unassigned	518_0	Clustered	2	VC_518_0	2	1	1	1	1	1	1	1
phage_5869	Unassigned	Unassigned	Unassigned	518_0	Clustered	2	VC_518_0	2	1	1	1	1	1	1	1
phage_2947	Unassigned	Unassigned	Unassigned	519_0	Clustered	2	VC_519_0	2	1	1	1	1	1	1	1
phage_4777	Unassigned	Unassigned	Unassigned	519_0	Clustered	2	VC_519_0	2	1	1	1	1	1	1	1
phage_2958	Unassigned	Unassigned	Unassigned	520_0	Clustered	2	VC_520_0	2	0.5341	0.72985431	0.3898	1	1	1	1
phage_3335	Unassigned	Unassigned	Unassigned	520_0	Clustered	2	VC_520_0	2	0.5341	0.72985431	0.3898	1	1	1	1
phage_2959	Unassigned	Unassigned	Unassigned	521_0	Clustered	2	VC_521_0	2	0.2979	0.5	0.149	1	1	1	1
phage_3316	Unassigned	Unassigned	Unassigned	521_0	Clustered	2	VC_521_0	2	0.2979	0.5	0.149	1	1	1	1
phage_2978	Unassigned	Unassigned	Unassigned	522_0	Clustered	3	VC_522_0	3	0.5474	0.81162044	0.4443	1	1	1	1
phage_5929	Unassigned	Unassigned	Unassigned	522_0	Clustered	3	VC_522_0	3	0.5474	0.81162044	0.4443	1	1	1	1
phage_854	Unassigned	Unassigned	Unassigned	522_0	Clustered	3	VC_522_0	3	0.5474	0.81162044	0.4443	1	1	1	1
phage_3042	Unassigned	Unassigned	Unassigned	523_0	Clustered	2	VC_523_0	2	1	1	1	1	1	1	1
phage_5747	Unassigned	Unassigned	Unassigned	523_0	Clustered	2	VC_523_0	2	1	1	1	1	1	1	1
phage_3362	Unassigned	Unassigned	Unassigned	524_0	Clustered	3	VC_524_0	3	0.167	0.5	0.0835	1	1	1	1
phage_4865	Unassigned	Unassigned	Unassigned	524_0	Clustered	3	VC_524_0	3	0.167	0.5	0.0835	1	1	1	1
phage_5310	Unassigned	Unassigned	Unassigned	524_0	Clustered	3	VC_524_0	3	0.167	0.5	0.0835	1	1	1	1
phage_3065	Unassigned	Unassigned	Unassigned	525_0	Clustered	3	VC_525_0	3	0.8154	0.87736094	0.7154	1	1	1	1
phage_3270	Unassigned	Unassigned	Unassigned	525_0	Clustered	3	VC_525_0	3	0.8154	0.87736094	0.7154	1	1	1	1
phage_3334	Unassigned	Unassigned	Unassigned	525_0	Clustered	3	VC_525_0	3	0.8154	0.87736094	0.7154	1	1	1	1
phage_3068	Unassigned	Unassigned	Unassigned	526_0	Clustered	2	VC_526_0	2	1	1	1	1	1	1	1
phage_7295	Unassigned	Unassigned	Unassigned	526_0	Clustered	2	VC_526_0	2	1	1	1	1	1	1	1
phage_5304	Unassigned	Unassigned	Unassigned	527_0	Clustered	2	VC_527_0	2	0.5474	0.90610936	0.496	1	1	1	1
phage_6016	Unassigned	Unassigned	Unassigned	527_0	Clustered	2	VC_527_0	2	0.5474	0.90610936	0.496	1	1	1	1
phage_3072	Unassigned	Unassigned	Unassigned	528_0	Clustered	2	VC_528_0	2	1	1	1	1	1	1	1
phage_3544	Unassigned	Unassigned	Unassigned	528_0	Clustered	2	VC_528_0	2	1	1	1	1	1	1	1
phage_3083	Unassigned	Unassigned	Unassigned	529_0	Clustered	3	VC_529_0	3	1	1	1	1	1	1	1
phage_4554	Unassigned	Unassigned	Unassigned	529_0	Clustered	3	VC_529_0	3	1	1	1	1	1	1	1
phage_5317	Unassigned	Unassigned	Unassigned	529_0	Clustered	3	VC_529_0	3	1	1	1	1	1	1	1
phage_3084	Unassigned	Unassigned	Unassigned	530_0	Clustered	3	VC_530_0	3	0.982	0.81445332	0.7998	1	1	1	1
phage_3283	Unassigned	Unassigned	Unassigned	530_0	Clustered	3	VC_530_0	3	0.982	0.81445332	0.7998	1	1	1	1
phage_6333	Unassigned	Unassigned	Unassigned	530_0	Clustered	3	VC_530_0	3	0.982	0.81445332	0.7998	1	1	1	1
phage_3087	Unassigned	Unassigned	Unassigned	531_0	Clustered	2	VC_531_0	2	1	1	1	1	1	1	1
phage_866	Unassigned	Unassigned	Unassigned	531_0	Clustered	2	VC_531_0	2	1	1	1	1	1	1	1
phage_3091	Unassigned	Unassigned	Unassigned	532_0	Clustered	2	VC_532_0	2	1	1	1	1	1	1	1
phage_5788	Unassigned	Unassigned	Unassigned	532_0	Clustered	2	VC_532_0	2	1	1	1	1	1	1	1
phage_3092	Unassigned	Unassigned	Unassigned	533_0	Clustered	4	VC_533_0	4	0.7599	0.74069749	0.5629	1	1	1	1
phage_3130	Unassigned	Unassigned	Unassigned	533_0	Clustered	4	VC_533_0	4	0.7599	0.74069749	0.5629	1	1	1	1
phage_4553	Unassigned	Unassigned	Unassigned	533_0	Clustered	4	VC_533_0	4	0.7599	0.74069749	0.5629	1	1	1	1
phage_4788	Unassigned	Unassigned	Unassigned	533_0	Clustered	4	VC_533_0	4	0.7599	0.74069749	0.5629	1	1	1	1
phage_3129	Unassigned	Unassigned	Unassigned	534_0	Clustered	2	VC_534_0	2	1	1	1	1	1	1	1
phage_4790	Unassigned	Unassigned	Unassigned	534_0	Clustered	2	VC_534_0	2	1	1	1	1	1	1	1
